report_date,category,revenue
21/04/2022,Ethnic Dress,33674.00
21/04/2022,Saree,6069.00
21/04/2022,Set,1454005.00
21/04/2022,Top,159891.00
21/04/2022,Western Dress,265559.00
21/04/2022,kurta,837551.00
22/04/2022,Blouse,16388.00
22/04/2022,Bottom,9602.00
22/04/2022,Ethnic Dress,30591.00
22/04/2022,Saree,6898.00
22/04/2022,Set,1483181.00
22/04/2022,Top,152285.00
22/04/2022,Western Dress,263662.00
22/04/2022,kurta,827989.00
23/04/2022,Blouse,16631.00
23/04/2022,Bottom,10522.00
23/04/2022,Ethnic Dress,25099.00
23/04/2022,Saree,4928.00
23/04/2022,Set,1486181.00
23/04/2022,Top,158994.00
23/04/2022,Western Dress,258395.00
23/04/2022,kurta,799829.00
24/04/2022,Blouse,21082.00
24/04/2022,Bottom,10338.00
24/04/2022,Ethnic Dress,23279.00
24/04/2022,Saree,8178.00
24/04/2022,Set,1584006.00
24/04/2022,Top,171718.00
24/04/2022,Western Dress,288538.00
24/04/2022,kurta,766217.00
25/04/2022,Blouse,18527.00
25/04/2022,Bottom,8872.00
25/04/2022,Ethnic Dress,24448.00
25/04/2022,Saree,7279.00
25/04/2022,Set,1549299.00
25/04/2022,Top,186001.00
25/04/2022,Western Dress,315055.00
25/04/2022,kurta,754119.00
26/04/2022,Blouse,16293.00
26/04/2022,Bottom,8159.00
26/04/2022,Ethnic Dress,21927.00
26/04/2022,Saree,5807.00
26/04/2022,Set,1466702.00
26/04/2022,Top,178099.00
26/04/2022,Western Dress,286613.00
26/04/2022,kurta,726844.00
27/04/2022,Blouse,17175.00
27/04/2022,Bottom,9874.00
27/04/2022,Ethnic Dress,12532.00
27/04/2022,Saree,1648.00
27/04/2022,Set,1321810.00
27/04/2022,Top,170500.00
27/04/2022,Western Dress,267913.00
27/04/2022,kurta,679745.00
28/04/2022,Blouse,18009.00
28/04/2022,Bottom,9191.00
28/04/2022,Ethnic Dress,14649.00
28/04/2022,Saree,7029.00
28/04/2022,Set,1269501.00
28/04/2022,Top,169882.00
28/04/2022,Western Dress,228950.00
28/04/2022,kurta,655458.00
29/04/2022,Blouse,16491.00
29/04/2022,Bottom,7576.00
29/04/2022,Ethnic Dress,17868.00
29/04/2022,Saree,8667.00
29/04/2022,Set,1225824.00
29/04/2022,Top,170035.00
29/04/2022,Western Dress,233058.00
29/04/2022,kurta,623699.00
30/04/2022,Blouse,12587.00
30/04/2022,Bottom,3765.00
30/04/2022,Ethnic Dress,22447.00
30/04/2022,Saree,9377.00
30/04/2022,Set,1292465.00
30/04/2022,Top,170664.00
30/04/2022,Western Dress,243061.00
30/04/2022,kurta,671647.00
01/05/2022,Blouse,14236.00
01/05/2022,Bottom,3366.00
01/05/2022,Ethnic Dress,18423.00
01/05/2022,Saree,3810.00
01/05/2022,Set,1411443.00
01/05/2022,Top,174163.00
01/05/2022,Western Dress,286087.00
01/05/2022,kurta,744284.00
02/05/2022,Blouse,15970.00
02/05/2022,Bottom,5022.00
02/05/2022,Ethnic Dress,18306.00
02/05/2022,Saree,2172.00
02/05/2022,Set,1558648.00
02/05/2022,Top,179070.00
02/05/2022,Western Dress,312680.00
02/05/2022,kurta,873893.00
03/05/2022,Blouse,18355.00
03/05/2022,Bottom,5184.00
03/05/2022,Ethnic Dress,22703.00
03/05/2022,Saree,2593.00
03/05/2022,Set,1643077.00
03/05/2022,Top,182248.00
03/05/2022,Western Dress,341005.00
03/05/2022,kurta,944965.00
04/05/2022,Blouse,14075.00
04/05/2022,Bottom,5234.00
04/05/2022,Ethnic Dress,27602.00
04/05/2022,Saree,6336.00
04/05/2022,Set,1717559.00
04/05/2022,Top,190038.00
04/05/2022,Western Dress,354357.00
04/05/2022,kurta,950830.00
05/05/2022,Blouse,11480.00
05/05/2022,Bottom,1855.00
05/05/2022,Ethnic Dress,27048.00
05/05/2022,Saree,10067.00
05/05/2022,Set,1589873.00
05/05/2022,Top,179933.00
05/05/2022,Western Dress,342392.00
05/05/2022,kurta,843393.00
06/05/2022,Blouse,12033.00
06/05/2022,Bottom,1316.00
06/05/2022,Ethnic Dress,24680.00
06/05/2022,Saree,8793.00
06/05/2022,Set,1538721.00
06/05/2022,Top,177680.00
06/05/2022,Western Dress,306081.00
06/05/2022,kurta,698235.00
07/05/2022,Blouse,15143.00
07/05/2022,Bottom,317.00
07/05/2022,Ethnic Dress,27744.00
07/05/2022,Saree,6151.00
07/05/2022,Set,1366041.00
07/05/2022,Top,166605.00
07/05/2022,Western Dress,304247.00
07/05/2022,kurta,618670.00
08/05/2022,Blouse,14395.00
08/05/2022,Bottom,1728.00
08/05/2022,Ethnic Dress,27305.00
08/05/2022,Saree,2974.00
08/05/2022,Set,1359053.00
08/05/2022,Top,174118.00
08/05/2022,Western Dress,310799.00
08/05/2022,kurta,604793.00
09/05/2022,Blouse,11507.00
09/05/2022,Bottom,2390.00
09/05/2022,Ethnic Dress,25168.00
09/05/2022,Saree,3191.00
09/05/2022,Set,1221285.00
09/05/2022,Top,168166.00
09/05/2022,Western Dress,297531.00
09/05/2022,kurta,651316.00
10/05/2022,Blouse,13148.00
10/05/2022,Bottom,3743.00
